Company,Position
Sabre Corporation,Talent Acquisition Specialist for Latin America & Caribbean
Despegar,Analista de producto
QAdvance (IT Services),CFO
Georgia Seguridad Contra Incendios,Business Data Analyst
Qadvance (IT Services),Cofundador
Cencosud S.A.,Chief Technology Officer Retail Digital
Avaya,Sr. Software Engineering Manager
Travelport,Director of Product Management - API channels
Adtomic,Head of HR
Oktana Corporation,Human Resources 
HR Professional Services,Freelance HR Professional
3XM Group,Talent Acquisition Manager
REMAX Premium,Agente Inmobiliario RE/MAX Premium
Cognizant,GMB Onboarding Agent
Wildlife Studios,Sr. Data Science Manager
Bridge Design Argentina,Abogado
Enel Argentina,Head of Recruiting
Cognizant,Java Software Engineer
GlobalLogic Latinoamerica,Delivery Director
Colprim Viajes,Administrador de oficina
Mercado Libre,Sr Director of Business Intelligence
Raízen Argentina S.A.,Gerente de Aplicaciones
Salesforce,Account Director - Marketing Cloud
Certa Consulting,Salesforce Developer
ATHENAWORKS,Technical Recruiter
Amgen,Digital Innovation
CloudGaia,Integrations Cloud Executive
Lemon Cash,CEO
RecargaPay,Human Resources Specialist
Self-employed  ,International Consultant IT Recruiter
Bagués,Desarrollador de Negocios
Escuela Argentina de Negocios,Docente
SAVOK.INC,Managing Director
Certius,Multi-language consultant
Camps Foods,Fundador
Datalytics,Partner - Director
"Blue Star Group (Todomoda, Isadora)",Jefe de E-Commerce
"CDS, a Hewlett Packard Enterprise company",Human Resources Specialist en HPE CDS
Freelance,Encargada de gestión y desarrollo de producto
Medtronic,Senior FP&A Specialist | Data Analyst      ✔ Data Analytics en Power BI 📊
NIXOR,Responsable de RRHH
Universidad Maimónides,Profesor
GhidiniRodil,SR Consultant | IT Specialist
COREBI Analytics & Big Data,Analista y Desarrollador BI
"Mobify, A Salesforce Company",CEO & co-founder
Travelport,Customer Success Manager
Consultor,"Contador Público, especialista en gestión y costos "
Cabify,Tech
CloudGaia,Salesforce Business Analyst
Motorola Solutions,Sr Project Manager
Cloudgaia,Co-Founder - Chief Business Development Officer
